Task,SOTA,Scratch,Our
H2AFZ,0.52,0.447737226,0.489636463
H3K27ac,0.52,0.425960605,0.48152641
H3K27me3,0.6,0.540003646,0.60489531
H3K36me3,0.64,0.517510031,0.577810732
H3K4me1,0.5,0.410341264,0.479476302
H3K4me2,0.63,0.485704059,0.543996155
H3K4me3,0.65,0.589314697,0.630876186
H3K9ac,0.59,0.446077586,0.519474958
H3K9me3,0.48,0.301605289,0.367412131
H4K20me1,0.66,0.583975869,0.635185285
Enhancers,0.61,0.455209702,0.52074005
Enhancers(types),0.57,0.422259365,0.473136002
Promoters,0.76,0.67213853,0.750946673
Promoters(nonTATA),0.77,0.709871489,0.758689991
Promoters(TATA),0.94,0.627861531,0.77960869
SpliceSites,0.96,0.505217698,0.820604819
SpliceSites(Acceptors),0.96,0.494614357,0.775225431
SpliceSites(Donors),0.97,0.565409446,0.810755024
